dim_M,dim_N,dim_K,CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
1,1,1,0,0.0004761219024658203,0,0.0003445148468017578,0,0.0002048015594482422,0,9.72747802734375e-05
2,2,2,0,0.0004291534423828125,0,0.0004494190216064453,0,0.008214473724365234,0,0.00011801719665527344
3,3,3,0,0.00043487548828125,0,0.0003540515899658203,0,0.00018739700317382812,0,7.748603820800781e-05
4,4,4,0,0.0004074573516845703,0,0.0003407001495361328,0,0.00017595291137695312,0,7.534027099609375e-05
5,5,5,0,0.0003719329833984375,0,0.0003452301025390625,0,0.00017261505126953125,0,7.486343383789062e-05
6,6,6,0,0.0003600120544433594,0,0.0003178119659423828,0,0.0001468658447265625,0,6.937980651855469e-05
7,7,7,0,0.0004024505615234375,0,0.0003542900085449219,0,0.00014400482177734375,0,6.914138793945312e-05
8,8,8,0,0.000347137451171875,0,0.00037360191345214844,0,0.00014853477478027344,0,6.890296936035156e-05
9,9,9,0,0.0003635883331298828,0,0.00034880638122558594,0,0.00014901161193847656,0,7.152557373046875e-05
10,10,10,0,0.00038051605224609375,0,0.000331878662109375,0,0.00014519691467285156,0,8.749961853027344e-05
11,11,11,0,0.00038695335388183594,0,0.00033211708068847656,0,0.00017499923706054688,0,7.200241088867188e-05
12,12,12,0,0.00034880638122558594,0,0.0003170967102050781,0,0.00017142295837402344,0,7.2479248046875e-05
13,13,13,0,0.0003981590270996094,0,0.0003266334533691406,0,0.00017261505126953125,0,7.367134094238281e-05
14,14,14,0,0.0003428459167480469,0,0.00032210350036621094,0,0.0001709461212158203,0,7.104873657226562e-05
15,15,15,0,0.0004127025604248047,0,0.0003123283386230469,0,0.000148773193359375,0,7.319450378417969e-05
16,16,16,0,0.0003647804260253906,0,0.0003402233123779297,0,0.0001430511474609375,0,6.937980651855469e-05
17,17,17,0,0.0004429817199707031,0,0.00036334991455078125,0,0.00030612945556640625,0,8.106231689453125e-05
18,18,18,0,0.00039505958557128906,0,0.00035858154296875,0,0.00014066696166992188,0,6.580352783203125e-05
19,19,19,0,0.00036978721618652344,0,0.00033974647521972656,0,0.00014138221740722656,0,6.747245788574219e-05
20,20,20,0,0.0003464221954345703,0,0.0003483295440673828,0,0.00016546249389648438,0,7.081031799316406e-05
21,21,21,0,0.00037980079650878906,0,0.00033211708068847656,0,0.00013494491577148438,0,6.818771362304688e-05
22,22,22,0,0.0003879070281982422,0,0.0003428459167480469,0,0.00013899803161621094,0,7.081031799316406e-05
23,23,23,0,0.0003750324249267578,0,0.0003342628479003906,0,0.0001552104949951172,0,6.699562072753906e-05
24,24,24,0,0.0003743171691894531,0,0.00031757354736328125,0,0.00014019012451171875,0,6.771087646484375e-05
25,25,25,0,0.0003733634948730469,0,0.00032067298889160156,0,0.00013327598571777344,0,6.341934204101562e-05
26,26,26,0,0.00042319297790527344,0,0.0003464221954345703,0,0.0001533031463623047,0,6.961822509765625e-05
27,27,27,0,0.0003485679626464844,0,0.0003437995910644531,0,0.00014257431030273438,0,7.009506225585938e-05
28,28,28,0,0.0003745555877685547,0,0.0003275871276855469,0,0.00014925003051757812,0,6.67572021484375e-05
29,29,29,0,0.0003609657287597656,0,0.0003654956817626953,0,0.00015354156494140625,0,6.723403930664062e-05
30,30,30,0,0.0003788471221923828,0,0.00032782554626464844,0,0.0001518726348876953,0,6.866455078125e-05
31,31,31,0,0.0003483295440673828,0,0.00034880638122558594,0,0.00013828277587890625,0,7.009506225585938e-05
32,32,32,0,0.0003676414489746094,0,0.00034117698669433594,0,0.0001347064971923828,0,6.556510925292969e-05
33,33,33,0,0.00045228004455566406,0,0.00037169456481933594,0,0.00016427040100097656,0,7.367134094238281e-05
34,34,34,0,0.00036597251892089844,0,0.00032401084899902344,0,0.00014781951904296875,0,6.651878356933594e-05
35,35,35,0,0.00041222572326660156,0,0.0003523826599121094,0,0.000141143798828125,0,7.152557373046875e-05
36,36,36,0,0.0003809928894042969,0,0.0003223419189453125,0,0.00014901161193847656,0,6.842613220214844e-05
37,37,37,0,0.0004069805145263672,0,0.0003380775451660156,0,0.0001418590545654297,0,6.914138793945312e-05
38,38,38,0,0.0003657341003417969,0,0.00034809112548828125,0,0.0001537799835205078,0,7.319450378417969e-05
39,39,39,0,0.00038433074951171875,0,0.0003371238708496094,0,0.00014066696166992188,0,6.937980651855469e-05
40,40,40,0,0.0003554821014404297,0,0.0003669261932373047,0,0.00015425682067871094,0,7.295608520507812e-05
41,41,41,0,0.00038695335388183594,0,0.00032520294189453125,0,0.00015735626220703125,0,7.2479248046875e-05
42,42,42,0,0.0003879070281982422,0,0.00035309791564941406,0,0.0001399517059326172,0,6.794929504394531e-05
43,43,43,0,0.00037670135498046875,0,0.00033593177795410156,0,0.00015234947204589844,0,7.176399230957031e-05
44,44,44,0,0.00038909912109375,0,0.0003223419189453125,0,0.00017714500427246094,0,7.319450378417969e-05
45,45,45,0,0.0003829002380371094,0,0.0003306865692138672,0,0.00013899803161621094,0,6.961822509765625e-05
46,46,46,0,0.0004000663757324219,0,0.00034046173095703125,0,0.00016164779663085938,0,7.271766662597656e-05
47,47,47,0,0.0003731250762939453,0,0.00033092498779296875,0,0.0001571178436279297,0,7.367134094238281e-05
48,48,48,0,0.0004086494445800781,0,0.00036406517028808594,0,0.00014281272888183594,0,6.985664367675781e-05
49,49,49,0,0.0004029273986816406,0,0.0003657341003417969,0,0.00015878677368164062,0,7.319450378417969e-05
50,50,50,0,0.00038743019104003906,0,0.0003426074981689453,0,0.00015354156494140625,0,7.033348083496094e-05
51,51,51,0,0.00036525726318359375,0,0.00034809112548828125,0,0.0001552104949951172,0,7.081031799316406e-05
52,52,52,0,0.0004057884216308594,0,0.0003390312194824219,0,0.00015401840209960938,0,7.295608520507812e-05
53,53,53,0,0.0003566741943359375,0,0.0003669261932373047,0,0.00014352798461914062,0,7.319450378417969e-05
54,54,54,0,0.00038170814514160156,0,0.00032782554626464844,0,0.00014901161193847656,0,7.033348083496094e-05
55,55,55,0,0.00041866302490234375,0,0.0003523826599121094,0,0.0001647472381591797,0,7.510185241699219e-05
56,56,56,0,0.00038123130798339844,0,0.0003266334533691406,0,0.0001499652862548828,0,6.937980651855469e-05
57,57,57,0,0.00041484832763671875,0,0.00035381317138671875,0,0.00015616416931152344,0,7.319450378417969e-05
58,58,58,0,0.0003643035888671875,0,0.00032591819763183594,0,0.00015544891357421875,0,7.43865966796875e-05
59,59,59,0,0.0004138946533203125,0,0.0003361701965332031,0,0.00015687942504882812,0,7.510185241699219e-05
60,60,60,0,0.00036263465881347656,0,0.00035190582275390625,0,0.00015783309936523438,0,7.581710815429688e-05
61,61,61,0,0.00039076805114746094,0,0.0003523826599121094,0,0.00015974044799804688,0,7.2479248046875e-05
62,62,62,0,0.00037670135498046875,0,0.0003719329833984375,0,0.00015735626220703125,0,9.703636169433594e-05
63,63,63,0,0.0003993511199951172,0,0.0003464221954345703,0,0.00015497207641601562,0,7.510185241699219e-05
64,64,64,0,0.00036454200744628906,0,0.0003540515899658203,0,0.0001480579376220703,0,7.700920104980469e-05
65,65,65,0,0.00041985511779785156,0,0.00035643577575683594,0,0.00017309188842773438,0,7.843971252441406e-05
