Dimensions: (128, 128, 128), 	Method: Basic  	Elapsed time: 	1.079221 seconds.
Dimensions: (128, 128, 128), 	Method: Numpy  	Elapsed time: 	0.600736 seconds.
Dimensions: (128, 128, 128), 	Method: Jit  	Elapsed time: 	1.480919 seconds.
Dimensions: (256, 256, 256), 	Method: Basic  	Elapsed time: 	7.860692 seconds.
Dimensions: (256, 256, 256), 	Method: Numpy  	Elapsed time: 	0.000574 seconds.
Dimensions: (256, 256, 256), 	Method: Jit  	Elapsed time: 	0.019830 seconds.
Dimensions: (512, 512, 512), 	Method: Basic  	Elapsed time: 	63.075397 seconds.
Dimensions: (512, 512, 512), 	Method: Numpy  	Elapsed time: 	0.004907 seconds.
Dimensions: (512, 512, 512), 	Method: Jit  	Elapsed time: 	0.305619 seconds.
Done.
