matmul: Computed C:
[[ 0.37417695]]
Expected C:
[[ 0.37417695]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.002662 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000044 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.001096 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000090 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.001204 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000237 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001254 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000630 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001140 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001035 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002514 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001749 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003686 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002931 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004889 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004167 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.006306 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.005805 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.008816 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.008182 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.010978 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010897 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.014230 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013752 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.017899 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.017372 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.019505 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.019481 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.023538 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.023544 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.029229 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.028421 seconds.
Done.
