matmul: Computed C:
[[ 0.0231672]]
Expected C:
[[ 0.0231672]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.002468 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000038 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000643 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000077 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.000867 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000262 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001721 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000536 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001157 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001104 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002482 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001775 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003576 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002842 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004862 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004873 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.006079 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.006012 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.008291 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.008195 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.011297 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010777 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.014424 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013932 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.018266 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.017920 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.022198 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.019591 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.022893 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.023291 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.030447 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.029920 seconds.
Done.
