matmul: Computed C:
[[ 0.63575345]]
Expected C:
[[ 0.63575345]]
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!
matmul: Results match!

RESULTS:

Dimensions: (1,1,1           ) 	Method: Numpy            	Elapsed time:     0.000030 seconds.
Dimensions: (1,1,1           ) 	Method: JitNumpy         	Elapsed time:     1.955149 seconds.

Dimensions: (64,64,64        ) 	Method: Numpy            	Elapsed time:     0.021768 seconds.
Dimensions: (64,64,64        ) 	Method: JitNumpy         	Elapsed time:     0.000052 seconds.

Dimensions: (128,128,128     ) 	Method: Numpy            	Elapsed time:     0.000843 seconds.
Dimensions: (128,128,128     ) 	Method: JitNumpy         	Elapsed time:     0.000120 seconds.

Dimensions: (192,192,192     ) 	Method: Numpy            	Elapsed time:     0.001199 seconds.
Dimensions: (192,192,192     ) 	Method: JitNumpy         	Elapsed time:     0.000465 seconds.

Dimensions: (256,256,256     ) 	Method: Numpy            	Elapsed time:     0.001347 seconds.
Dimensions: (256,256,256     ) 	Method: JitNumpy         	Elapsed time:     0.000650 seconds.

Dimensions: (320,320,320     ) 	Method: Numpy            	Elapsed time:     0.001357 seconds.
Dimensions: (320,320,320     ) 	Method: JitNumpy         	Elapsed time:     0.001168 seconds.

Dimensions: (384,384,384     ) 	Method: Numpy            	Elapsed time:     0.002482 seconds.
Dimensions: (384,384,384     ) 	Method: JitNumpy         	Elapsed time:     0.001830 seconds.

Dimensions: (448,448,448     ) 	Method: Numpy            	Elapsed time:     0.003556 seconds.
Dimensions: (448,448,448     ) 	Method: JitNumpy         	Elapsed time:     0.002870 seconds.

Dimensions: (512,512,512     ) 	Method: Numpy            	Elapsed time:     0.004916 seconds.
Dimensions: (512,512,512     ) 	Method: JitNumpy         	Elapsed time:     0.004223 seconds.

Dimensions: (576,576,576     ) 	Method: Numpy            	Elapsed time:     0.005843 seconds.
Dimensions: (576,576,576     ) 	Method: JitNumpy         	Elapsed time:     0.005785 seconds.

Dimensions: (640,640,640     ) 	Method: Numpy            	Elapsed time:     0.008833 seconds.
Dimensions: (640,640,640     ) 	Method: JitNumpy         	Elapsed time:     0.008222 seconds.

Dimensions: (704,704,704     ) 	Method: Numpy            	Elapsed time:     0.010934 seconds.
Dimensions: (704,704,704     ) 	Method: JitNumpy         	Elapsed time:     0.010777 seconds.

Dimensions: (768,768,768     ) 	Method: Numpy            	Elapsed time:     0.013875 seconds.
Dimensions: (768,768,768     ) 	Method: JitNumpy         	Elapsed time:     0.013872 seconds.

Dimensions: (832,832,832     ) 	Method: Numpy            	Elapsed time:     0.017859 seconds.
Dimensions: (832,832,832     ) 	Method: JitNumpy         	Elapsed time:     0.017630 seconds.

Dimensions: (896,896,896     ) 	Method: Numpy            	Elapsed time:     0.021533 seconds.
Dimensions: (896,896,896     ) 	Method: JitNumpy         	Elapsed time:     0.021558 seconds.

Dimensions: (960,960,960     ) 	Method: Numpy            	Elapsed time:     0.026660 seconds.
Dimensions: (960,960,960     ) 	Method: JitNumpy         	Elapsed time:     0.026404 seconds.

Dimensions: (1024,1024,1024  ) 	Method: Numpy            	Elapsed time:     0.028012 seconds.
Dimensions: (1024,1024,1024  ) 	Method: JitNumpy         	Elapsed time:     0.027846 seconds.
Done.
