Results match!
Results match!
Results match!
Results match!
Results match!
Results match!
Dimensions: (128,128,128) 	Method: Numpy           	Elapsed time:     0.513259 seconds.
Dimensions: (128,128,128) 	Method: JitBasic        	Elapsed time:     1.521531 seconds.
Dimensions: (128,128,128) 	Method: JitNumpy        	Elapsed time:     0.371604 seconds.
Dimensions: (256,256,256) 	Method: Numpy           	Elapsed time:     0.000726 seconds.
Dimensions: (256,256,256) 	Method: JitBasic        	Elapsed time:     0.034360 seconds.
Dimensions: (256,256,256) 	Method: JitNumpy        	Elapsed time:     0.000646 seconds.
Dimensions: (512,512,512) 	Method: Numpy           	Elapsed time:     0.005023 seconds.
Dimensions: (512,512,512) 	Method: JitBasic        	Elapsed time:     0.356906 seconds.
Dimensions: (512,512,512) 	Method: JitNumpy        	Elapsed time:     0.003763 seconds.
Done.
