dim_M,dim_N,dim_K,Numpy_failed (1),Numpy_time (s),CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
1024,1024,4,0,0.0006275177001953125,0,0.0025925636291503906,0,0.005179643630981445,0,0.0012238025665283203,0,0.0011107921600341797
1024,1024,8,0,0.00048041343688964844,0,0.0021865367889404297,0,0.005875825881958008,0,0.001316070556640625,0,0.0011563301086425781
1024,1024,12,0,0.0004706382751464844,0,0.0022678375244140625,0,0.005297422409057617,0,0.0013320446014404297,0,0.0011622905731201172
1024,1024,16,0,0.00046753883361816406,0,0.002275228500366211,0,0.00579071044921875,0,0.001337289810180664,0,0.0011894702911376953
1024,1024,20,0,0.0004811286926269531,0,0.0024106502532958984,0,0.0053560733795166016,0,0.001333475112915039,0,0.0011703968048095703
1024,1024,24,0,0.0004963874816894531,0,0.0024902820587158203,0,0.005880594253540039,0,0.001338958740234375,0,0.0011811256408691406
1024,1024,28,0,0.0005042552947998047,0,0.0026252269744873047,0,0.0053195953369140625,0,0.001344919204711914,0,0.001199483871459961
1024,1024,32,0,0.0005247592926025391,0,0.0031919479370117188,0,0.005379199981689453,0,0.0013380050659179688,0,0.0011990070343017578
1024,1024,36,0,0.0005207061767578125,0,0.0027704238891601562,0,0.005316495895385742,0,0.0013418197631835938,0,0.00119781494140625
1024,1024,40,0,0.0005223751068115234,0,0.0032587051391601562,0,0.005346536636352539,0,0.001373291015625,0,0.0011951923370361328
1024,1024,44,0,0.0005464553833007812,0,0.0029642581939697266,0,0.0053141117095947266,0,0.0013599395751953125,0,0.0011909008026123047
1024,1024,48,0,0.0005507469177246094,0,0.003681659698486328,0,0.005353450775146484,0,0.001369476318359375,0,0.0012233257293701172
1024,1024,52,0,0.0005545616149902344,0,0.0032012462615966797,0,0.0058727264404296875,0,0.0014007091522216797,0,0.0012230873107910156
1024,1024,56,0,0.0005643367767333984,0,0.0033020973205566406,0,0.005336284637451172,0,0.001377105712890625,0,0.0012178421020507812
1024,1024,60,0,0.0005693435668945312,0,0.003370523452758789,0,0.0059375762939453125,0,0.0013904571533203125,0,0.001245737075805664
1024,1024,64,0,0.0005900859832763672,0,0.0034592151641845703,0,0.005357503890991211,0,0.0014204978942871094,0,0.0012543201446533203
1024,1024,68,0,0.0006053447723388672,0,0.003576993942260742,0,0.005933046340942383,0,0.0014078617095947266,0,0.0012392997741699219
1024,1024,72,0,0.0006113052368164062,0,0.0036432743072509766,0,0.0053637027740478516,0,0.0014383792877197266,0,0.0012712478637695312
1024,1024,76,0,0.0006196498870849609,0,0.004375934600830078,0,0.005365133285522461,0,0.0014438629150390625,0,0.0012700557708740234
1024,1024,80,0,0.0006489753723144531,0,0.0038361549377441406,0,0.0054204463958740234,0,0.0014309883117675781,0,0.0012791156768798828
1024,1024,84,0,0.0006496906280517578,0,0.004481792449951172,0,0.005360841751098633,0,0.0014412403106689453,0,0.001264333724975586
1024,1024,88,0,0.0006706714630126953,0,0.004044532775878906,0,0.00543522834777832,0,0.0014643669128417969,0,0.0013070106506347656
