dim_M,dim_N,dim_K,Numpy_failed (1),Numpy_time (s),CudaGlobalMemory_failed (1),CudaGlobalMemory_time (s),CudaSharedMemory_failed (1),CudaSharedMemory_time (s),CupyMatmul_failed (1),CupyMatmul_time (s),CupyDot_failed (1),CupyDot_time (s)
496,1024,1024,0,0.0017423629760742188,0,0.014023303985595703,0,0.005661725997924805,0,0.0015811920166015625,0,0.0015225410461425781
500,1024,1024,0,0.0017821788787841797,0,0.015008211135864258,0,0.00567626953125,0,0.0016314983367919922,0,0.0015370845794677734
504,1024,1024,0,0.0018610954284667969,0,0.014051675796508789,0,0.00686955451965332,0,0.0017058849334716797,0,0.0015821456909179688
508,1024,1024,0,0.0018489360809326172,0,0.014255285263061523,0,0.005647182464599609,0,0.0016942024230957031,0,0.001546621322631836
512,1024,1024,0,0.0019655227661132812,0,0.014403820037841797,0,0.006810903549194336,0,0.0016598701477050781,0,0.001546621322631836
516,1024,1024,0,0.0019478797912597656,0,0.014323711395263672,0,0.0056612491607666016,0,0.0031576156616210938,0,0.0016849040985107422
520,1024,1024,0,0.0026051998138427734,0,0.014543771743774414,0,0.00806736946105957,0,0.0019040107727050781,0,0.001744985580444336
524,1024,1024,0,0.0020287036895751953,0,0.014493703842163086,0,0.0057146549224853516,0,0.0018286705017089844,0,0.001688241958618164
528,1024,1024,0,0.002028226852416992,0,0.01607060432434082,0,0.005852699279785156,0,0.0018491744995117188,0,0.0017359256744384766
532,1024,1024,0,0.0020127296447753906,0,0.014667272567749023,0,0.005737781524658203,0,0.0018744468688964844,0,0.0017185211181640625
536,1024,1024,0,0.002147197723388672,0,0.01646137237548828,0,0.0058481693267822266,0,0.0018973350524902344,0,0.0017375946044921875
540,1024,1024,0,0.002016782760620117,0,0.01511526107788086,0,0.0057675838470458984,0,0.0018928050994873047,0,0.0017094612121582031
544,1024,1024,0,0.0020792484283447266,0,0.01677560806274414,0,0.005843400955200195,0,0.0019161701202392578,0,0.0017421245574951172
548,1024,1024,0,0.0020143985748291016,0,0.01508641242980957,0,0.007226467132568359,0,0.0018773078918457031,0,0.0016927719116210938
552,1024,1024,0,0.0020623207092285156,0,0.015168905258178711,0,0.005727052688598633,0,0.0018835067749023438,0,0.001745462417602539
556,1024,1024,0,0.0020036697387695312,0,0.01520848274230957,0,0.0073184967041015625,0,0.0019462108612060547,0,0.0017709732055664062
560,1024,1024,0,0.002062559127807617,0,0.015420913696289062,0,0.005840301513671875,0,0.0018956661224365234,0,0.001753091812133789
564,1024,1024,0,0.0021042823791503906,0,0.015573740005493164,0,0.007359981536865234,0,0.0019690990447998047,0,0.0018181800842285156
568,1024,1024,0,0.0021800994873046875,0,0.015808820724487305,0,0.005797147750854492,0,0.0018687248229980469,0,0.001703500747680664
572,1024,1024,0,0.002197742462158203,0,0.017274856567382812,0,0.0058400630950927734,0,0.001897573471069336,0,0.0017571449279785156
576,1024,1024,0,0.0023255348205566406,0,0.015913724899291992,0,0.005821943283081055,0,0.0019025802612304688,0,0.0017600059509277344
